OBJECTID,id,d,e,datum,den,rok,mesic,zavineni,viditelnost,cas,hodina,mesic_t,doba,den_v_tydnu,alkohol,alkohol_vinik,hlavni_pricina,srazka,pricina,stav_vozovky,povetrnostni_podm,rozhled,misto_nehody,druh_komun,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,smrt,tz,lz,smrt_dny,smrt_po,vek_skupina,chodec_pohlavi,kategorie_chodce,stav_chodce,chovani_chodce,situace_nehody,prvni_pomoc,nasledky_chodce,nazev,POINT_X,POINT_Y,GlobalID,x,y
1,60042102039,-601201.157,-1164285.355,4/29/2010 12:00:00 AM,4,2010,4,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1340,13,duben,den,čtvrtek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,0,32000,0,0,0,1,,19-24,muž,muž,"nepozornost, roztržitost",špatný odhad vzdálenosti a rychlosti vozidla,přecházení mimo přechod (2O a více metrů od přechodu),nebylo třeba poskytnout,bez zranění,Brno-Starý Lískovec,16.571771691,49.160585186,2a763843-3760-4348-bd1b-2830c4ae7089,614591.239756756,5446496.7761611
2,60042102058,-597104.108,-1165612.168,6/12/2010 12:00:00 AM,6,2010,6,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1560,15,červen,den,sobota,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,čerpadlo pohonných hmot,komunikace sledovaná (ve vybraných městech),0,0,2,0,0,0,1,1,,24-32,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-jih,16.629576682,49.15268673,e2e815d0-f61f-465b-b779-c2ab05a93067,618824.293518479,5445707.86149142
3,60042102058,-597104.108,-1165612.168,6/12/2010 12:00:00 AM,6,2010,6,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1560,15,červen,den,sobota,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,čerpadlo pohonných hmot,komunikace sledovaná (ve vybraných městech),0,0,2,0,0,0,1,1,,7-11,chlapec (do 15 let),jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-jih,16.629576682,49.15268673,af4775b7-adde-4ac7-b0f4-43e5c4f26c30,618824.293518479,5445707.86149142
4,60042112031,-597641.768,-1164819.394,5/20/2011 12:00:00 AM,5,2011,5,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",120,1,květen,noc,pátek,Ne,ne,nepřiměřená rychlost jízdy,srážka s chodcem,jiný druh nepřiměřené rychlosti,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),1,0,0,50000,1,0,0,1,,,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,usmrcení,Brno-jih,16.6210816760001,49.159256113,89dbabab-28b5-449e-b8a5-f7497d0f9ce6,618189.250099336,5446424.83125549
5,60042112081,-592209.342,-1164219.758,9/13/2011 12:00:00 AM,2,2011,9,řidičem motorového vozidla,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",500,5,září,noc,úterý,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,1,0,20000,0,1,0,1,,45-60,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",jiná situace,vozidlem RZP,těžké zranění,Brno-Slatina,16.6942716830001,49.16983672,e0da9d2b-a0df-484d-973c-c585fbe3ba15,623498.820919821,5447717.81088937
6,60042132011,-596802.142,-1167381.901,2/3/2013 12:00:00 AM,7,2013,2,řidičem motorového vozidla,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",1830,18,únor,den,neděle,Ne,ne,nepřiměřená rychlost jízdy,srážka s chodcem,jiný druh nepřiměřené rychlosti,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),1,0,1,60000,1,0,0,1,,33-44,muž,muž,jiný neuvedený stav,žádné z uvedených,jiná situace,nebylo třeba poskytnout,usmrcení,,16.6362916850001,49.137154792,4a25ba37-8e03-4e73-a36e-4bcfdbbc7f0c,619351.219379262,5443991.86550222
7,60042132030,-592767.074,-1164649.615,4/11/2013 12:00:00 AM,4,2013,4,řidičem motorového vozidla,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",457,4,duben,noc,čtvrtek,Ne,ne,nepřiměřená rychlost jízdy,srážka s chodcem,"nepřizpůsobení rychlosti viditelnosti (mlha, soumrak, jízda v noci na tlumená světla apod.)","povrch suchý, neznečistěný",jiné ztížené,dobré,"most, nadjezd, podjezd, tunel",komunikace sledovaná (ve vybraných městech),0,1,0,5000,0,1,0,1,,33-44,žena,žena,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰,",žádné z uvedených,jiná situace,vozidlem RZP,těžké zranění,Brno-Slatina,16.687293681,49.16545947,20a2e7b1-2eb0-42a2-9d8f-301e123fc6cc,623001.046798551,5447219.86890712
8,60042132137,-594657.757,-1164680.005,11/9/2013 12:00:00 AM,6,2013,11,řidičem motorového vozidla,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",1953,19,listopad,den,sobota,Ne,ne,nepřiměřená rychlost jízdy,srážka s chodcem,jiný druh nepřiměřené rychlosti,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),1,0,0,150000,1,0,0,1,,24-32,muž,muž,nezjištěno,"náhlé vstoupení do vozovky z chodníku, krajnice",jiná situace,poskytnuta osádkou vozidel zúčast.na nehodě,usmrcení,Brno-Tuřany,16.661559014,49.1633750230001,d87f46d4-35de-491f-85d7-b71e47a904f2,621130.191822501,5446946.66724841
9,60042162006,-591975.83,-1163993.197,1/22/2016 12:00:00 AM,5,2016,1,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1400,14,leden,den,pátek,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,dálnice,0,1,0,1050000,0,1,0,1,,24-32,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,žádné z uvedených,jiná situace,leteckou záchrannou službou,těžké zranění,Brno-Slatina,16.697125676,49.172085839,d69f628b-0a5c-4f0b-bd00-686dead03fb7,623701.24019642,5447972.48617205
10,60042182002,-601862.011,-1164055.593,1/1/2018 12:00:00 AM,1,2018,1,řidičem motorového vozidla,"v noci - bez veřejného osvětlení, viditelnost zhoršená vlivem povětrnostních podmínek (mlha, déšť, sněžení apod.",60,6,leden,den,pondělí,Ne,ne,nepřiměřená rychlost jízdy,srážka s chodcem,"nepřizpůsobení rychlosti viditelnosti (mlha, soumrak, jízda v noci na tlumená světla apod.)",povrch mokrý,mlha,dobré,žádné nebo žádné z uvedených,dálnice,1,0,0,80000,1,0,0,1,,24-32,muž,muž,"pod vlivem léků, narkotik",žádné z uvedených,jiná situace,vozidlem RZP,usmrcení,Brno-Starý Lískovec,16.562422686,49.1619972680001,12d9e1b5-32ce-4171-b7e2-c467bd4d553a,613906.428390832,5446639.6398265
